,rows*columns,rho,population,l,n,T,B,commune,neyman,proportional
0,100,-0.9,10000,"[5, 10]",2000,30,0.1,5,"[59.0, 304.0, 201.0, 48.0, 696.0]","[137.0, 365.0, 298.0, 137.0, 553.0]"
1,100,-0.9,10000,"[5, 10]",2000,30,0.1,10,"[24.0, 62.0, 85.0, 31.0, 38.0, 175.0, 134.0, 109.0, 50.0, 173.0]","[55.0, 89.0, 93.0, 54.0, 73.0, 157.0, 134.0, 106.0, 72.0, 126.0]"
2,100,-0.9,15000,"[5, 10]",2000,30,0.1,5,"[73.0, 218.0, 102.0, 180.0, 115.0]","[95.0, 192.0, 129.0, 158.0, 135.0]"
3,100,-0.9,15000,"[5, 10]",2000,30,0.1,10,"[99.0, 68.0, 62.0, 222.0, 122.0, 29.0, 54.0, 43.0, 82.0, 212.0]","[127.0, 105.0, 89.0, 161.0, 144.0, 71.0, 93.0, 76.0, 105.0, 156.0]"
4,100,-0.9,20000,"[5, 10]",2000,30,0.1,5,"[146.0, 114.0, 303.0, 190.0, 238.0]","[161.0, 163.0, 266.0, 194.0, 228.0]"
5,100,-0.9,20000,"[5, 10]",2000,30,0.1,10,"[40.0, 37.0, 133.0, 137.0, 27.0, 218.0, 97.0, 34.0, 364.0, 214.0]","[96.0, 92.0, 157.0, 149.0, 81.0, 233.0, 149.0, 79.0, 268.0, 187.0]"
6,100,-0.5,10000,"[5, 10]",2000,30,0.1,5,"[99.0, 100.0, 112.0, 59.0, 74.0]","[84.0, 103.0, 107.0, 71.0, 85.0]"
7,100,-0.5,10000,"[5, 10]",2000,30,0.1,10,"[55.0, 42.0, 80.0, 14.0, 92.0, 35.0, 32.0, 49.0, 52.0, 45.0]","[59.0, 51.0, 64.0, 26.0, 80.0, 47.0, 45.0, 49.0, 51.0, 45.0]"
8,100,-0.5,15000,"[5, 10]",2000,30,0.1,5,"[29.0, 48.0, 85.0, 74.0, 53.0]","[38.0, 57.0, 76.0, 66.0, 59.0]"
9,100,-0.5,15000,"[5, 10]",2000,30,0.1,10,"[45.0, 45.0, 5.0, 55.0, 59.0, 90.0, 28.0, 22.0, 43.0, 15.0]","[49.0, 49.0, 14.0, 47.0, 58.0, 74.0, 39.0, 31.0, 43.0, 25.0]"
10,100,-0.5,20000,"[5, 10]",2000,30,0.1,5,"[49.0, 55.0, 38.0, 121.0, 124.0]","[61.0, 74.0, 62.0, 102.0, 110.0]"
11,100,-0.5,20000,"[5, 10]",2000,30,0.1,10,"[32.0, 28.0, 38.0, 42.0, 63.0, 48.0, 54.0, 20.0, 34.0, 83.0]","[43.0, 39.0, 41.0, 42.0, 61.0, 54.0, 54.0, 30.0, 40.0, 58.0]"
12,100,0.0,10000,"[5, 10]",2000,30,0.1,5,"[34.0, 122.0, 75.0, 47.0, 74.0]","[45.0, 102.0, 80.0, 58.0, 76.0]"
13,100,0.0,10000,"[5, 10]",2000,30,0.1,10,"[84.0, 39.0, 58.0, 17.0, 40.0, 31.0, 44.0, 17.0, 35.0, 16.0]","[65.0, 43.0, 47.0, 25.0, 46.0, 41.0, 46.0, 26.0, 38.0, 24.0]"
14,100,0.0,15000,"[5, 10]",2000,30,0.1,5,"[39.0, 88.0, 64.0, 42.0, 84.0]","[46.0, 80.0, 68.0, 52.0, 77.0]"
15,100,0.0,15000,"[5, 10]",2000,30,0.1,10,"[61.0, 16.0, 19.0, 41.0, 29.0, 61.0, 32.0, 48.0, 18.0, 22.0]","[53.0, 26.0, 26.0, 36.0, 38.0, 53.0, 37.0, 42.0, 26.0, 27.0]"
16,100,0.0,20000,"[5, 10]",2000,30,0.1,5,"[37.0, 105.0, 88.0, 45.0, 68.0]","[46.0, 92.0, 83.0, 56.0, 72.0]"
17,100,0.0,20000,"[5, 10]",2000,30,0.1,10,"[23.0, 42.0, 41.0, 9.0, 67.0, 33.0, 21.0, 32.0, 34.0, 38.0]","[31.0, 42.0, 38.0, 16.0, 55.0, 38.0, 29.0, 33.0, 34.0, 34.0]"
18,100,0.5,10000,"[5, 10]",2000,30,0.1,5,"[62.0, 95.0, 40.0, 52.0, 95.0]","[60.0, 88.0, 56.0, 62.0, 86.0]"
19,100,0.5,10000,"[5, 10]",2000,30,0.1,10,"[88.0, 64.0, 19.0, 11.0, 34.0, 73.0, 22.0, 35.0, 19.0, 51.0]","[68.0, 61.0, 30.0, 21.0, 45.0, 69.0, 35.0, 40.0, 29.0, 46.0]"
20,100,0.5,15000,"[5, 10]",2000,30,0.1,5,"[80.0, 67.0, 95.0, 110.0, 61.0]","[73.0, 80.0, 96.0, 96.0, 75.0]"
21,100,0.5,15000,"[5, 10]",2000,30,0.1,10,"[26.0, 55.0, 45.0, 20.0, 30.0, 26.0, 45.0, 31.0, 42.0, 12.0]","[33.0, 48.0, 39.0, 23.0, 36.0, 34.0, 42.0, 32.0, 37.0, 19.0]"
22,100,0.5,20000,"[5, 10]",2000,30,0.1,5,"[97.0, 85.0, 52.0, 103.0, 100.0]","[85.0, 94.0, 73.0, 96.0, 98.0]"
23,100,0.5,20000,"[5, 10]",2000,30,0.1,10,"[55.0, 24.0, 28.0, 25.0, 46.0, 61.0, 26.0, 55.0, 13.0, 53.0]","[51.0, 34.0, 34.0, 30.0, 50.0, 58.0, 37.0, 46.0, 23.0, 43.0]"
24,100,0.9,10000,"[5, 10]",2000,30,0.1,5,"[225.0, 190.0, 71.0, 123.0, 154.0]","[179.0, 190.0, 116.0, 141.0, 169.0]"
25,100,0.9,10000,"[5, 10]",2000,30,0.1,10,"[41.0, 29.0, 141.0, 15.0, 51.0, 65.0, 49.0, 35.0, 30.0, 22.0]","[56.0, 48.0, 91.0, 29.0, 63.0, 71.0, 59.0, 45.0, 43.0, 35.0]"
26,100,0.9,15000,"[5, 10]",2000,30,0.1,5,"[80.0, 305.0, 164.0, 62.0, 109.0]","[105.0, 242.0, 177.0, 101.0, 141.0]"
27,100,0.9,15000,"[5, 10]",2000,30,0.1,10,"[96.0, 177.0, 39.0, 37.0, 47.0, 47.0, 54.0, 26.0, 34.0, 12.0]","[90.0, 124.0, 52.0, 48.0, 65.0, 67.0, 68.0, 43.0, 49.0, 28.0]"
28,100,0.9,20000,"[5, 10]",2000,30,0.1,5,"[199.0, 46.0, 171.0, 64.0, 157.0]","[159.0, 89.0, 172.0, 99.0, 161.0]"
29,100,0.9,20000,"[5, 10]",2000,30,0.1,10,"[22.0, 103.0, 52.0, 74.0, 33.0, 80.0, 52.0, 55.0, 63.0, 20.0]","[40.0, 84.0, 55.0, 61.0, 51.0, 80.0, 60.0, 56.0, 61.0, 33.0]"
